Date,Average USD (7-day)
2019-11-14,123.82
2019-11-15,129.96
2019-11-16,150.32
2019-11-17,152.92
2019-11-18,152.92
2019-11-19,152.92
2019-11-20,97.32
2019-11-21,74.01
2019-11-22,62.77
2019-11-23,42.34
2019-11-24,41.51
2019-11-25,42.07
2019-11-26,42.07
2019-11-27,41.1
2019-11-28,40.69
2019-11-29,41.46
2019-11-30,58.78
2019-12-01,58.78
2019-12-02,76.96
2019-12-03,76.96
2019-12-04,70.65
2019-12-05,67.7
2019-12-06,66.44
2019-12-07,66.44
2019-12-08,59.8
2019-12-09,60.86
2019-12-10,61.19
2019-12-11,62.42
2019-12-12,62.61
2019-12-13,62.61
2019-12-14,62.61
2019-12-15,69.03
2019-12-16,62.23
2019-12-17,57.93
2019-12-18,56.73
2019-12-19,56.73
2019-12-20,56.53
2019-12-21,58.8
2019-12-22,58.75
2019-12-23,59.39
2019-12-24,69.62
2019-12-25,70.61
2019-12-26,70.39
2019-12-27,104.55
2019-12-28,285.18
2019-12-29,333.06
2019-12-30,193.16
2019-12-31,168.96
2020-01-01,147.74
2020-01-02,167.53
2020-01-03,157.42
2020-01-04,128.07
2020-01-05,127.59
2020-01-06,138.07
2020-01-07,129.76
2020-01-08,132.98
2020-01-09,140.69
2020-01-10,144.25
2020-01-11,152.37
2020-01-12,155.97
2020-01-13,160.39
2020-01-14,221.77
2020-01-15,242.12
2020-01-16,194.39
2020-01-17,270.12
2020-01-18,262.06
2020-01-19,261.06
2020-01-20,258.03
2020-01-21,262.81
2020-01-22,263.51
2020-01-23,299.67
2020-01-24,168.76
2020-01-25,197.96
2020-01-26,217.39
2020-01-27,222.81
2020-01-28,223.84
2020-01-29,222.29
2020-01-30,247.26
2020-01-31,247.26
2020-02-01,178.59
2020-02-02,128.16
2020-02-03,156.22
2020-02-04,155.16
2020-02-05,154.74
2020-02-06,174.13
2020-02-07,210.2
2020-02-08,208.75
2020-02-09,241.96
2020-02-10,310.89
2020-02-11,311.56
2020-02-12,309.4
2020-02-13,315.19
2020-02-14,329.15
2020-02-15,381.77
2020-02-16,311.6
2020-02-17,231.34
2020-02-18,223.19
2020-02-19,214.03
2020-02-20,212.6
2020-02-21,212.6
2020-02-22,212.6
2020-02-23,189.17
2020-02-24,189.17
2020-02-25,202.12
2020-02-26,190.79
2020-02-27,179.49
2020-02-28,178.47
2020-02-29,174.39
2020-03-01,173.41
2020-03-02,173.41
2020-03-03,157.58
2020-03-04,196.56
2020-03-05,196.56
2020-03-06,215.51
2020-03-07,221.14
2020-03-08,200.91
2020-03-09,172.73
2020-03-10,167.73
2020-03-11,145.6
2020-03-12,142.83
2020-03-13,95.18
2020-03-14,106.15
2020-03-15,99.71
2020-03-16,94.65
2020-03-17,93.3
2020-03-18,93.3
2020-03-19,91.76
2020-03-20,124.15
2020-03-21,85.92
2020-03-22,256.51
2020-03-23,293.38
2020-03-24,255.35
2020-03-25,233.64
2020-03-26,206.06
2020-03-27,206.06
2020-03-28,226.56
2020-03-29,112.94
2020-03-30,109.75
2020-03-31,121.55
2020-04-01,76.27
2020-04-02,81.68
2020-04-03,96.86
2020-04-04,96.86
2020-04-05,97.09
2020-04-06,101.13
2020-04-07,105.45
2020-04-08,231.69
2020-04-09,231.69
2020-04-10,206.84
2020-04-11,206.84
2020-04-12,206.84
2020-04-13,174.19
2020-04-14,181.16
2020-04-15,105.54
2020-04-16,105.54
2020-04-17,142.37
2020-04-18,153.89
2020-04-19,151.59
2020-04-20,163.97
2020-04-21,158.32
2020-04-22,163.44
2020-04-23,181.36
2020-04-24,209.82
2020-04-25,296.02
2020-04-26,667.62
2020-04-27,553.61
2020-04-28,506.95
2020-04-29,513.6
2020-04-30,523.79
2020-05-01,531.75
2020-05-02,527.21
2020-05-03,269.01
2020-05-04,279.57
2020-05-05,433.95
2020-05-06,420.25
2020-05-07,404.76
2020-05-08,399.55
2020-05-09,400.32
2020-05-10,445.01
2020-05-11,428.5
2020-05-12,364.97
2020-05-13,358.81
2020-05-14,345.84
2020-05-15,324.96
2020-05-16,464.01
2020-05-17,394.04
2020-05-18,404.3
2020-05-19,391.48
2020-05-20,488.8
2020-05-21,646.04
2020-05-22,520.27
2020-05-23,494.55
2020-05-24,607.58
2020-05-25,584.25
2020-05-26,549.68
2020-05-27,509.78
2020-05-28,526.46
2020-05-29,616.42
2020-05-30,594.31
2020-05-31,527.03
2020-06-01,623.35
2020-06-02,780.86
2020-06-03,1067.38
2020-06-04,807.04
2020-06-05,964.78
2020-06-06,903.22
2020-06-07,927.53
2020-06-08,438.4
2020-06-09,320
2020-06-10,300.22
2020-06-11,283.58
2020-06-12,306.92
2020-06-13,389.99
2020-06-14,400.15
2020-06-15,399.07
2020-06-16,406.68
2020-06-17,380.56
2020-06-18,469.17
2020-06-19,447.2
2020-06-20,372.39
2020-06-21,385.51
2020-06-22,385.53
2020-06-23,353.35
2020-06-24,370.38
2020-06-25,328.75
2020-06-26,329.15
2020-06-27,333.01
2020-06-28,406.66
2020-06-29,403.27
2020-06-30,423.5
2020-07-01,402.45
2020-07-02,371.81
2020-07-03,388.79
2020-07-04,373.23
2020-07-05,326.04
2020-07-06,324.57
2020-07-07,336.08
2020-07-08,349.17
2020-07-09,369.23
2020-07-10,388.66
2020-07-11,439.82
2020-07-12,375.11
2020-07-13,381.29
2020-07-14,390.75
2020-07-15,416.78
2020-07-16,446.74
2020-07-17,416.19
2020-07-18,372.8
2020-07-19,407.77
2020-07-20,426.96
2020-07-21,450.56
2020-07-22,450.85
2020-07-23,465.34
2020-07-24,523.71
2020-07-25,506.31
2020-07-26,510.72
2020-07-27,507.08
2020-07-28,469.45
2020-07-29,383.19
2020-07-30,322.98
2020-07-31,338.34
2020-08-01,401.27
2020-08-02,399.81
2020-08-03,397.2
2020-08-04,405.47
2020-08-05,409.25
2020-08-06,425.89
2020-08-07,441.48
2020-08-08,398.96
2020-08-09,396.69
2020-08-10,399.27
2020-08-11,392.73
2020-08-12,398.32
2020-08-13,405.38
2020-08-14,407.38
2020-08-15,443.95
2020-08-16,461.51
2020-08-17,460.9
2020-08-18,453.62
2020-08-19,465.38
2020-08-20,422.33
2020-08-21,404.58
2020-08-22,373.82
2020-08-23,347.15
2020-08-24,383.63
2020-08-25,602.28
2020-08-26,601.29
2020-08-27,614.87
2020-08-28,605.29
2020-08-29,611.83
2020-08-30,681.27
2020-08-31,644.11
2020-09-01,511.01
2020-09-02,413.79
2020-09-03,424.33
2020-09-04,420.19
2020-09-05,427.57
2020-09-06,2228.5
2020-09-07,2177.2
2020-09-08,1974.14
2020-09-09,1674.86
2020-09-10,1432.25
2020-09-11,891.29
2020-09-12,1014.38
2020-09-13,857.51
2020-09-14,837.22
2020-09-15,980.87
2020-09-16,984.67
2020-09-17,1099.21
2020-09-18,1265.23
2020-09-19,1242.35
2020-09-20,1209.39
2020-09-21,1476.57
2020-09-22,1311.05
2020-09-23,1200.24
2020-09-24,1080.24
2020-09-25,1111.09
2020-09-26,1113.81
2020-09-27,1182.06
2020-09-28,1416.15
2020-09-29,1523.36
2020-09-30,1606.06
2020-10-01,1839.21
2020-10-02,1936.05
2020-10-03,2158.86
2020-10-04,2261.42
2020-10-05,2418.87
2020-10-06,2401.61
2020-10-07,2453.63
2020-10-08,2306.96
2020-10-09,2382.94
2020-10-10,2149.65
2020-10-11,2245.15
2020-10-12,2281.6
2020-10-13,2383.32
2020-10-14,2251.05
2020-10-15,2349.41
2020-10-16,2439.18
2020-10-17,2471.83
2020-10-18,2549.11
2020-10-19,2538.71
2020-10-20,2545.36
2020-10-21,2414.37
2020-10-22,2538.33
2020-10-23,2243.12
2020-10-24,2021.92
2020-10-25,2018.37
2020-10-26,2056.94
2020-10-27,2011.49
2020-10-28,2495.79
2020-10-29,2207.52
2020-10-30,2347.9
2020-10-31,2677.98
2020-11-01,3297.2
2020-11-02,3373.89
2020-11-03,3826.13
2020-11-04,2733.63
2020-11-05,2832.01
2020-11-06,3032.27
2020-11-07,3046.15
2020-11-08,2510.63
2020-11-09,2611.67
2020-11-10,1912.87
2020-11-11,1977.69
2020-11-12,2529.16
2020-11-13,6891.69
2020-11-14,6212.73
2020-11-15,5103.21
2020-11-16,6010.25
2020-11-17,5764.77
2020-11-18,5260.74
2020-11-19,5539.16
2020-11-20,3834.06
2020-11-21,4307.25
2020-11-22,4589.65
2020-11-23,3688.32
2020-11-24,3392.68
2020-11-25,3325.26
2020-11-26,2573.49
2020-11-27,2295.44
2020-11-28,2314.9
2020-11-29,2333.28
2020-11-30,3333.48
2020-12-01,4278.7
2020-12-02,5598.78
2020-12-03,6050.28
2020-12-04,6478.54
2020-12-05,7355.86
2020-12-06,7697.7
2020-12-07,7436.28
2020-12-08,7436.28
2020-12-09,7084.2
2020-12-10,8320.64
2020-12-11,5138.81
2020-12-12,3652.11
2020-12-13,2889.74
2020-12-14,1893.86
2020-12-15,1875.29
2020-12-16,1875.29
2020-12-17,1893.73
2020-12-18,2192.92
2020-12-19,2313.82
2020-12-20,2301.06
2020-12-21,2171.63
2020-12-22,2576.53
2020-12-23,3310.62
2020-12-24,4089.84
2020-12-25,5571.66
2020-12-26,5695.73
2020-12-27,5448.22
2020-12-28,5434.18
2020-12-29,6147.28
2020-12-30,7328.23
2020-12-31,6210.67
2021-01-01,6003.77
2021-01-02,5921.55
2021-01-03,6545.5
2021-01-04,7065.91
2021-01-05,7372.32
2021-01-06,8626.6
2021-01-07,11123.74
2021-01-08,9947.31
2021-01-09,10459.65
2021-01-10,11298.61
2021-01-11,11038.28
2021-01-12,11248.04
2021-01-13,9244.62
2021-01-14,8512.75
2021-01-15,8730.15
2021-01-16,8639.07
2021-01-17,7262.69
2021-01-18,9171.07
2021-01-19,9963.68
2021-01-20,10794.49
2021-01-21,11229.29
2021-01-22,11072.1
2021-01-23,21054.84
2021-01-24,19679.71
2021-01-25,18271.65
2021-01-26,16201.26
2021-01-27,13707.89
2021-01-28,14561.91
2021-01-29,14628.91
2021-01-30,11300.29
2021-01-31,10735.12
2021-02-01,10818.78
2021-02-02,13674.25
2021-02-03,15747.1
2021-02-04,17344.28
2021-02-05,18414.02
2021-02-06,19197.42
2021-02-07,21419.59
2021-02-08,22887.78
2021-02-09,20791.2
2021-02-10,21682.95
2021-02-11,24163.44
2021-02-12,24444.61
2021-02-13,22293.2
2021-02-14,21833.98
2021-02-15,22555.18
2021-02-16,23495.99
2021-02-17,24450.98
2021-02-18,27281.29
2021-02-19,30909.6
2021-02-20,33090.57
2021-02-21,38110.45
2021-02-22,43838.67
2021-02-23,45345.5
2021-02-24,49297.97
2021-02-25,49928.59
2021-02-26,49325.77
2021-02-27,50947.89
2021-02-28,54313.41
2021-03-01,48591.53
2021-03-02,52611.05
2021-03-03,53780.63
2021-03-04,55013.34
2021-03-05,54240.14
2021-03-06,53676.16
2021-03-07,53448.84
2021-03-08,53903.39
2021-03-09,50249.46
2021-03-10,49018.56
2021-03-11,96434.3
2021-03-12,94440.94
2021-03-13,94734.42
2021-03-14,96327.5
2021-03-15,94215.96
2021-03-16,94243.99
2021-03-17,93567.57
2021-03-18,68122.33
2021-03-19,65312.66
2021-03-20,63385.84
2021-03-21,62240.39
2021-03-22,62127.46
2021-03-23,62234.81
2021-03-24,60541.63
2021-03-25,59251.68
2021-03-26,59964.56
2021-03-27,55762.17
2021-03-28,49833.42
2021-03-29,52376.15
2021-03-30,45757.46
2021-03-31,44627.06
2021-04-01,44425.79
2021-04-02,44642.7
2021-04-03,45536.51
2021-04-04,44843.54
2021-04-05,42197.22
2021-04-06,43882.54
2021-04-07,43887.22
2021-04-08,50912.81
2021-04-09,53705.57
2021-04-10,55818.08
2021-04-11,59176.69
2021-04-12,62410.8
2021-04-13,65644.99
2021-04-14,67580.38
2021-04-15,71901.5
2021-04-16,73592.37
2021-04-17,71787.79
2021-04-18,71642.23
2021-04-19,67934.01
2021-04-20,64773.7
2021-04-21,64970.79
2021-04-22,64799.6
2021-04-23,53640.58
2021-04-24,54177.54
2021-04-25,52646.04
2021-04-26,55386.55
2021-04-27,65675.68
2021-04-28,66352.84
2021-04-29,65731.5
2021-04-30,88167.33
2021-05-01,93341.08
2021-05-02,98771.3
2021-05-03,95474.12
2021-05-04,91968.76
2021-05-05,95472.36
2021-05-06,97919.85
2021-05-07,98338.12
2021-05-08,100870.52
2021-05-09,100044.18
2021-05-10,113932.15
2021-05-11,113602.93
2021-05-12,108662.8
2021-05-13,98147.14
2021-05-14,98134.89
2021-05-15,91147.57
2021-05-16,87504.27
2021-05-17,81286.94
2021-05-18,89409.43
2021-05-19,83223.95
2021-05-20,88807.07
2021-05-21,82885.24
2021-05-22,75071.45
2021-05-23,76742.63
2021-05-24,85883.57
2021-05-25,66979.07
2021-05-26,69075.3
2021-05-27,70109.97
2021-05-28,70069.75
2021-05-29,74942.76
2021-05-30,75829.34
2021-05-31,64825.97
2021-06-01,64483.15
2021-06-02,61035.38
2021-06-03,61424.78
2021-06-04,60912.83
2021-06-05,58135.37
2021-06-06,51623.29
2021-06-07,54348.47
2021-06-08,55464.18
2021-06-09,57337.5
2021-06-10,53354.63
2021-06-11,51431.57
2021-06-12,51609.11
2021-06-13,51560.45
2021-06-14,50097.75
2021-06-15,48077.91
2021-06-16,55415.39
2021-06-17,57288.93
2021-06-18,58272.28
2021-06-19,55772.55
2021-06-20,53708.07
2021-06-21,48739.72
2021-06-22,47769.25
2021-06-23,39728.97
2021-06-24,36576.84
2021-06-25,38096.54
2021-06-26,39284.67
2021-06-27,38961.92
2021-06-28,41327.42
2021-06-29,30572.38
2021-06-30,30740.15
2021-07-01,30597.85
2021-07-02,28103.89
2021-07-03,28301.35
2021-07-04,31459.44
2021-07-05,27333.65
2021-07-06,34003.53
2021-07-07,32669.25
2021-07-08,33417.71
2021-07-09,36706.57
2021-07-10,37852.16
2021-07-11,36152.09
2021-07-12,46409.96
2021-07-13,50552.26
2021-07-14,55848.32
2021-07-15,57565.8
2021-07-16,58497.47
2021-07-17,59702.82
2021-07-18,61333.34
2021-07-19,60987.61
2021-07-20,54311.5
2021-07-21,53504.75
2021-07-22,53548.17
2021-07-23,56386.17
2021-07-24,55623.46
2021-07-25,59661.15
2021-07-26,61397.85
2021-07-27,64920.3
2021-07-28,66798.13
2021-07-29,79933.81
2021-07-30,109235.42
2021-07-31,118417.1
2021-08-01,122589.28
2021-08-02,126550.31
2021-08-03,132151.85
2021-08-04,138007.49
2021-08-05,142863.2
2021-08-06,157146.43
2021-08-07,169390.55
2021-08-08,184868.97
2021-08-09,188316.88
2021-08-10,188929.26
2021-08-11,194785.64
2021-08-12,212014.6
2021-08-13,209913.26
2021-08-14,205224.69
2021-08-15,196093.18
2021-08-16,203146.89
2021-08-17,212234.84
2021-08-18,199687.5
2021-08-19,187100.95
2021-08-20,189697.92
2021-08-21,193454.07
2021-08-22,203318.13
2021-08-23,239096.77
2021-08-24,259536.12
2021-08-25,270564.52
2021-08-26,280579.3
2021-08-27,294541.43
2021-08-28,344608.42
2021-08-29,360173.02
2021-08-30,402666.04
2021-08-31,407588.53
2021-09-01,415570.13
2021-09-02,418454.54
2021-09-03,454471.5
2021-09-04,476294.87
2021-09-05,465442.21
2021-09-06,473219.73
2021-09-07,482237.37
2021-09-08,493088.39
2021-09-09,506625.24
2021-09-10,506764.92
2021-09-11,471851.25
2021-09-12,468853.9
2021-09-13,455064.8
2021-09-14,446754.33
2021-09-15,436253.11
2021-09-16,416685.18
2021-09-17,420640.24
2021-09-18,378608.01
2021-09-19,378497.71
2021-09-20,381927.53
2021-09-21,381294.58
2021-09-22,378052.16
2021-09-23,350839.16
2021-09-24,356984.93
2021-09-25,367439.73
2021-09-26,366019.52
2021-09-27,367685.14
2021-09-28,362254.17
2021-09-29,382019.9
2021-09-30,382316.79
2021-10-01,401245.77
2021-10-02,411634.7
